temp,year,var,model,scenario,ens,yrs,regrid
289.4020081,2031,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5150757,2032,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5052185,2033,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5756226,2034,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6260071,2035,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5119324,2036,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.568573,2037,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6810608,2038,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6115417,2039,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6300964,2040,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6515198,2041,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6498108,2042,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6502991,2043,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7118835,2044,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6184998,2045,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5686646,2046,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6275024,2047,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6399231,2048,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6183167,2049,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6697693,2050,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6252441,2051,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6668701,2052,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7122498,2053,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5704041,2054,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7120972,2055,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6559753,2056,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7019653,2057,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7546082,2058,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6997681,2059,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8423767,2060,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7797852,2061,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7788086,2062,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.69104,2063,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8370667,2064,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8847351,2065,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9262085,2066,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.030304,2067,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9487305,2068,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8642578,2069,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9052429,2070,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8186951,2071,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8769531,2072,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9805298,2073,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8144531,2074,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8559875,2075,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8240662,2076,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0290527,2077,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0753784,2078,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0253601,2079,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.1044617,2080,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0109863,2081,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.0633545,2082,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9128113,2083,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
290.1394043,2084,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.9160461,2085,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8576965,2086,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
